Mindat_id,Deposit_type,age_category,litho_class,Latitude,Longitude,age_midpoint_ma,lithology_status,macro_latitude,macro_longitude,macro_litho_raw,macro_litho_class,api_status,n_minerals_total,n_minerals_mapped,n_families_primary,n_families_copper,pct_mapped,age_status,continent_approx_original
3856.0,Sediment-Hosted,Precambrian,siliciclastic,46.75,-89.55,1047.0,resolved,46.75,-89.55,"sandstone-conglomerate; Major:{siltstone,shale,sandstone}; sandstone; shale; volcanic: mafic rocks",siliciclastic,ok,47,47,7,25,100.0,resolved,North_America
3978.0,Porphyry,Cenozoic,carbonate,32.79,-108.06731,55.5,resolved,32.79,-108.06731,"Major:{shale,sandstone}, Minor:{limestone}; shale; sedimentary; sedimentary rocks",carbonate,ok,47,47,8,23,100.0,resolved,North_America
4181.0,Porphyry,Cenozoic,felsic,40.5222222222,-112.148611111,39.0,resolved,40.5222222222,-112.148611111,"volcanic: intermediate rocks; Forms Bingham and Last Chance stocks and associated intrusions at Bingham mine; medium- to dark-gray, augite-actinolite-phlogopite (quartz) monzonite; where altered, augite is replaced by actinolite, chlorite, phlogopite, and quartz, and some plagioclase; monzonite; Major:{monzonite,granodiorite}, Incidental:{monzodiorite, quartz monzonite, granite, diorite, quartz diorite, quartz monzodiorite}; sedimentary rocks",felsic,ok,92,92,9,30,100.0,resolved,North_America
4322.0,Sediment-Hosted,Paleozoic,other,-10.713490343447,25.445446855678,521.0,other,-10.713490343447,25.445446855678,sedimentary; sedimentary rocks,other,ok,89,89,8,22,100.0,resolved,Africa
4331.0,Sediment-Hosted,Unknown,other,-11.6344444444,27.5808333333,,other,-11.6344444444,27.5808333333,sedimentary; sedimentary rocks,other,ok,13,13,4,7,100.0,unknown,Africa
4343.0,Sediment-Hosted,Precambrian,metamorphic,-12.6819444444,27.9166666667,900.0,resolved,-12.6819444444,27.9166666667,plutonic and metamorphic; orthogneiss/paragneiss,metamorphic,ok,6,6,5,5,100.0,resolved,Africa
4345.0,Sediment-Hosted,Precambrian,metamorphic,-12.5227777778,28.2361111111,900.0,resolved,-12.5227777778,28.2361111111,plutonic and metamorphic; orthogneiss/paragneiss,metamorphic,ok,20,20,7,14,100.0,resolved,Africa
4346.0,Sediment-Hosted,Precambrian,metamorphic,-13.039544,28.713245,900.0,resolved,-13.039544,28.713245,plutonic and metamorphic; orthogneiss/paragneiss,metamorphic,ok,5,5,4,4,100.0,resolved,Africa
4349.0,Sediment-Hosted,Paleozoic,volcanic,-12.833055555556,28.201666666667,511.5,resolved,-12.833055555556,28.201666666667,volcanic-sedimentary; orthogneiss/paragneiss,volcanic,ok,29,29,7,18,100.0,resolved,Africa
4350.0,Sediment-Hosted,Unknown,volcanic,-12.7733333333,28.1591666667,,resolved,-12.7733333333,28.1591666667,volcanic-sedimentary; orthogneiss/paragneiss,volcanic,ok,12,12,5,10,100.0,unknown,Africa
4364.0,VMS,Cenozoic,volcanic,40.402012533194,140.69662520124,14.15,resolved,40.402012533194,140.69662520124,sedimentary and volcanic rocks,volcanic,ok,20,20,6,13,100.0,resolved,Asia
4381.0,VMS,Precambrian,mafic,48.69,-81.3666666667,2716.0,resolved,48.69,-81.3666666667,"volcanic: mafic rocks; rhyolitic, rhyodacitic flows, tuffs and breccias; mafic-ultramafic volcanic rocks; tholeiite",mafic,ok,80,80,9,23,100.0,resolved,North_America
4464.0,Porphyry,Cenozoic,volcanic,32.651040512379,-108.36550795271,55.5,resolved,32.651040512379,-108.36550795271,"sedimentary; Major:{conglomerate sandstone,volcanic}; conglomerate; sedimentary rocks",volcanic,ok,52,52,9,19,100.0,resolved,North_America
4496.0,VMS,Precambrian,volcanic,45.4425,-91.115277777778,1820.0,resolved,45.4425,-91.115277777778,Major:{metavolcanic}; volcanic; sedimentary; intrusive igneous rocks,volcanic,ok,68,68,8,26,100.0,resolved,North_America
4555.0,Sediment-Hosted,Cenozoic,unknown,0.0,0.0,45.0,unknown,0.0,0.0,,unknown,ok,28,28,8,16,100.0,resolved,Africa
5436.0,Porphyry,Cenozoic,felsic,33.0905555556,-109.366111111,56.0,resolved,33.0905555556,-109.366111111,"volcanic rocks; Major:{granite,granodiorite,diorite}; granite; sedimentary",felsic,ok,81,81,9,29,100.0,resolved,North_America
5774.0,VMS,Paleozoic,felsic,-42.0657812716,145.570973714,502.0,resolved,-42.0657812716,145.570973714,"felsic; igneous felsic volcanic; volcanic; limestone,sandstone,slate,quartzite,conglomerate",felsic,ok,93,93,10,33,100.0,resolved,Oceania
5792.0,Porphyry,Cenozoic,other,31.410301572411,97.73015250491,33.0,other,31.410301572411,97.73015250491,sedimentary rocks,other,ok,61,61,8,26,100.0,resolved,Asia
5793.0,Porphyry,Cenozoic,other,31.0166666667,97.9166666667,36.55,other,31.0166666667,97.9166666667,sedimentary rocks,other,ok,16,16,6,12,100.0,resolved,Asia
5798.0,Porphyry,Cenozoic,other,27.4,101.133333333,33.55,other,27.4,101.133333333,sedimentary rocks,other,ok,17,17,5,14,100.0,resolved,Asia
6001.0,VMS,Paleozoic,volcanic,44.566012554007,-71.257580934437,470.0,resolved,44.566012554007,-71.257580934437,"plutonic: undivided granitic rocks; Major:{felsic volcanic,mafic volcanic}; volcanic; amphibolite grade orthogneiss/paragneiss/metavolcanic gneiss",volcanic,ok,9,9,3,8,100.0,resolved,North_America
6771.0,VMS,Precambrian,volcanic,49.1552777778,-85.7894444444,2720.0,resolved,49.1552777778,-85.7894444444,"wacke, siltstone, arkose, argillite, slate, mudstone, marble, chert, iron formation, minor metavolcanic rocks, conglomerate, arenite, paragneiss, migmatites; metamorphic and undivided crystalline: mainly tonalite gneiss; mafic volcanic rocks",volcanic,ok,37,36,4,14,97.3,resolved,North_America
6926.0,Porphyry,Mesozoic,carbonate,44.9833333333,21.7833333333,74.005,resolved,44.9833333333,21.7833333333,"sedimentary rocks; Major:{limestone}, Minor{siltstone,sandstone,marl}",carbonate,ok,38,38,6,17,100.0,resolved,Europe
7314.0,Porphyry,Unknown,unknown,0.0,0.0,,unknown,0.0,0.0,,unknown,ok,8,8,3,7,100.0,unknown,Africa
7372.0,VMS,Paleozoic,unknown,0.0,0.0,440.0,unknown,0.0,0.0,,unknown,ok,4,4,2,4,100.0,resolved,Africa
7376.0,VMS,Paleozoic,unknown,0.0,0.0,500.0,unknown,0.0,0.0,,unknown,ok,4,4,2,4,100.0,resolved,Africa
7377.0,Porphyry,Paleozoic,felsic,45.6,-70.3333333333,443.0,resolved,45.6,-70.3333333333,Major:{quartz monzonite}; sedimentary rocks; plutonic: undivided granitic rocks,felsic,ok,5,5,2,5,100.0,resolved,North_America
7378.0,Porphyry,Paleozoic,felsic,45.5358333333,-70.2166666667,443.0,resolved,45.5358333333,-70.2166666667,Major:{quartz monzonite}; intrusive igneous rocks; plutonic: undivided granitic rocks,felsic,ok,10,10,2,10,100.0,resolved,North_America
7797.0,Magmatic sulfide,Precambrian,mafic,-27.22868394857,120.54439591183,2706.0,resolved,-27.22868394857,120.54439591183,igneous mafic volcanic; basalt; ash; greenstone belt; mafic-ultramafic volcanic rocks,mafic,ok,85,85,9,25,100.0,resolved,Oceania
7971.0,Sediment-Hosted,Unknown,carbonate,35.993888855,-106.896942139,,resolved,35.993888855,-106.896942139,"Major:{sandstone,mudstone,conglomerate}, Minor:{limestone}; sedimentary; sedimentary rocks",carbonate,ok,14,14,6,10,100.0,unknown,North_America
8049.0,Magmatic sulfide,Precambrian,siliciclastic,46.458842,-81.080933,1785.0,resolved,46.458842,-81.080933,"sedimentary; mudstone; norite-gabbro, quartz norite, sublayer and offset rocks",siliciclastic,ok,29,29,4,11,100.0,resolved,North_America
8064.0,Porphyry,Cenozoic,felsic,38.4891666667,-113.1275,28.0,resolved,38.4891666667,-113.1275,"Major:{granodiorite}, Minor:{granite}, Incidental:{quartz monzonite, quartz diorite}; volcanic: intermediate rocks; sedimentary rocks",felsic,ok,24,24,6,17,100.0,resolved,North_America
8082.0,Magmatic sulfide,Precambrian,other,46.6333333333,-81.3833333333,1770.0,other,46.6333333333,-81.3833333333,granophyre; sedimentary; intrusive igneous rocks,other,ok,69,69,8,21,100.0,resolved,North_America
8182.0,Magmatic sulfide,Precambrian,felsic,46.5361111111,-80.9988888889,1785.0,resolved,46.5361111111,-80.9988888889,"mudstone; mafic, intermediate and felsic metavolcanic rocks, intercalated metasedimentary rocks and epiclastic rocks; plutonic: late felsic and intermediate plutons in the Superior province",felsic,ok,11,11,2,6,100.0,resolved,North_America
8302.0,Sediment-Hosted,Precambrian,mafic,26.180074,103.05997,1500.0,resolved,26.180074,103.05997,mafic-intermediate volcanic rocks,mafic,ok,18,18,6,14,100.0,resolved,Asia
8417.0,Porphyry,Paleozoic,volcanic,40.8138888889,69.6463888889,293.0,resolved,40.8138888889,69.6463888889,sedimentary and volcanic rocks,volcanic,ok,42,42,7,20,100.0,resolved,Asia
8418.0,VMS,Precambrian,other,18.0163888889,43.7011111111,1520.5,other,18.0163888889,43.7011111111,sedimentary; sedimentary rocks,other,ok,12,12,6,11,100.0,resolved,Africa
8428.0,Porphyry,Cenozoic,other,7.33333333333,126.15,10.65,other,7.33333333333,126.15,sedimentary rocks,other,ok,7,7,2,6,100.0,resolved,Asia
8563.0,VMS,Cenozoic,other,15.987921786818,119.95553389241,50.0,other,15.987921786818,119.95553389241,intrusive igneous rocks,other,ok,6,6,3,6,100.0,resolved,Asia
8577.0,Porphyry,Cenozoic,other,9.49166666667,122.679166667,28.45,other,9.49166666667,122.679166667,sedimentary rocks,other,ok,21,21,6,14,100.0,resolved,Asia
8582.0,Porphyry,Cenozoic,other,17.3444444444,121.058333333,8.45,other,17.3444444444,121.058333333,sedimentary rocks,other,ok,22,22,7,16,100.0,resolved,Asia
8587.0,VMS,Paleozoic,metamorphic,23.1097222222,97.2966666667,470.0,resolved,23.1097222222,97.2966666667,crystalline metamorphic rocks,metamorphic,ok,23,23,6,14,100.0,resolved,Asia
8588.0,VMS,Mesozoic,other,24.35,56.4,100.0,other,24.35,56.4,intrusive igneous rocks,other,ok,16,16,4,11,100.0,resolved,Other
8667.0,VMS,Mesozoic,other,33.8527777778,133.313888889,170.0,other,33.8527777778,133.313888889,sedimentary rocks,other,ok,33,33,5,15,100.0,resolved,Asia
8700.0,VMS,Precambrian,volcanic,54.6611111111,-102.033333333,1520.5,resolved,54.6611111111,-102.033333333,basic to intermediate volcanic; volcanic rocks; plutonic: undivided granitic rocks,volcanic,ok,12,12,7,10,100.0,resolved,North_America
8701.0,Magmatic sulfide,Precambrian,metamorphic,55.7022222222,-97.9247222222,1880.0,resolved,55.7022222222,-97.9247222222,sedimentary; intrusive igneous rocks; ortho- and paragneiss; aplite,metamorphic,ok,15,15,4,7,100.0,resolved,North_America
8744.0,Sediment-Hosted,Precambrian,carbonate,-31.087736111111,138.67381944444,630.0,resolved,-31.087736111111,138.67381944444,"sedimentary; metamorphic; carbonate; sandstone,shale,limestone,siltstone,tillite,dolomite",carbonate,ok,17,17,7,12,100.0,resolved,Oceania
8794.0,VMS,Mesozoic,mafic,55.393361111111,-129.85136388889,226.5,resolved,55.393361111111,-129.85136388889,intrusive igneous rocks; basaltic volcanic rocks; basalt,mafic,ok,9,9,3,8,100.0,resolved,North_America
8802.0,Porphyry,Cenozoic,other,16.6377777778,120.676666667,10.5,other,16.6377777778,120.676666667,sedimentary rocks,other,ok,21,21,7,15,100.0,resolved,Asia
8831.0,Porphyry,Cenozoic,other,-6.31513109142,155.495322227,3.4,other,-6.31513109142,155.495322227,sedimentary rocks,other,ok,21,21,5,15,100.0,resolved,Oceania
8859.0,Porphyry,Mesozoic,felsic,49.879444444444,-120.00638888889,143.0,resolved,49.879444444444,-120.00638888889,intrusive igneous rocks; plutonic: intermediate rocks; granodioritic intrusive rocks; granodiorite,felsic,ok,23,23,7,15,100.0,resolved,North_America
8875.0,VMS,Mesozoic,volcanic,49.61,-123.141666667,105.5,resolved,49.61,-123.141666667,intrusive igneous rocks; volcanic: undivided volcanic rocks; marine sedimentary and volcanic rocks; andesite,volcanic,ok,26,26,8,21,100.0,resolved,North_America
8886.0,Porphyry,Cenozoic,volcanic,-33.149265422398,-70.280914306641,4.9535,resolved,-33.149265422398,-70.280914306641,volcanic rocks,volcanic,ok,52,52,8,25,100.0,resolved,South_America
8905.0,VMS,Paleozoic,volcanic,47.4083333333,-65.8225,445.0,resolved,47.4083333333,-65.8225,bimodal volcanic rocks; sedimentary,volcanic,ok,37,37,8,18,100.0,resolved,North_America
8906.0,VMS,Paleozoic,other,47.4788888889,-65.8922222222,445.0,other,47.4788888889,-65.8922222222,sedimentary rocks; sedimentary,other,ok,42,42,7,20,100.0,resolved,North_America
8945.0,VMS,Paleozoic,mafic,48.8230555556,-56.8661111111,452.0,resolved,48.8230555556,-56.8661111111,volcanic: mafic rocks; mafic volcanic rocks,mafic,ok,25,25,7,14,100.0,resolved,North_America
9014.0,VMS,Paleozoic,other,50.1975,82.4347222222,398.0,other,50.1975,82.4347222222,sedimentary rocks,other,ok,8,8,4,6,100.0,resolved,Asia
9386.0,Magmatic sulfide,Mesozoic,volcanic,61.4652777778,-139.5275,232.0,resolved,61.4652777778,-139.5275,"dacite, latite, andesite, rhyolite and related pyroclastic rocks; volcanic: undivided volcanic rocks; Major: {peridotite,dunite},Minor: {pyroxenite,gabbro}; volcanic rocks",volcanic,ok,49,49,6,17,100.0,resolved,North_America
9496.0,VMS,Precambrian,felsic,64.871667,20.362968,1520.5,resolved,64.871667,20.362968,"sedimentary rocks; Rhyolite, dacite, metamorphic; meta-rhyolite; metamorphic; felsic and intermediate volcanic rocks",felsic,ok,75,75,9,22,100.0,resolved,Europe
9552.0,VMS,Mesozoic,carbonate,38.2294444444,-120.881944444,170.0,resolved,38.2294444444,-120.881944444,"Major:{slate,graywacke}, Minor:{siltstone,conglomerate}, Incidental:{chert, volcanic, basalt}; limestone; slate; volcanic: interlayered sedimentary and volcanic rocks; mudstone-carbonate-sandstone-conglomerate",carbonate,ok,22,22,5,16,100.0,resolved,North_America
9592.0,VMS,Paleozoic,volcanic,-35.5915697261,149.442210503,431.5,resolved,-35.5915697261,149.442210503,"sedimentary; metamorphic; ignimbrite; volcanic; intermediate-felsic volcanic rocks; sandstone,phyllite,conglomerate,slate,chert,siltstone",volcanic,ok,10,10,4,9,100.0,resolved,Oceania
9697.0,VMS,Precambrian,siliciclastic,64.058,24.79,1880.0,resolved,64.058,24.79,"Major:{meta-sandstone}, Minor{mica schist,gneiss,amphibolite}; metamorphic; greywacke, phyllite, mica schist, meta-arkose, graphitic schist, paragneiss, conglomerate, amphibolite; mica schist; metasedimentary schist",siliciclastic,ok,30,30,5,16,100.0,resolved,Europe
9702.0,VMS,Precambrian,metamorphic,64.4138888889,25.1422222222,1520.5,resolved,64.4138888889,25.1422222222,"felsic and intermediate volcanic rocks; Major:{meta-sandstone}, Minor{mica schist,gneiss,amphibolite}; metamorphic; mica schist; metasedimentary schist",metamorphic,ok,51,51,8,21,100.0,resolved,Europe
9706.0,Porphyry,Cenozoic,metamorphic,40.4722222222,23.7036111111,19.0,resolved,40.4722222222,23.7036111111,"Major:{gneiss}, Minor{phyllite,amphibolite,schist group}; metamorphic; crystalline metamorphic rocks",metamorphic,ok,54,54,9,27,100.0,resolved,Europe
9736.0,Sediment-Hosted,Precambrian,volcanic,-12.648545714661,28.040627977094,900.0,resolved,-12.648545714661,28.040627977094,volcanic-sedimentary; orthogneiss/paragneiss,volcanic,ok,14,14,4,10,100.0,resolved,Africa
9743.0,VMS,Mesozoic,other,24.41869265,56.40773624,100.0,other,24.41869265,56.40773624,intrusive igneous rocks,other,ok,8,8,3,6,100.0,resolved,Other
9786.0,IOCG,Precambrian,volcanic,19.75,-14.3833333333,2492.0,resolved,19.75,-14.3833333333,volcanic-sedimentary; orthogneiss/paragneiss/metavolcanic gneiss,volcanic,ok,26,26,7,17,100.0,resolved,Africa
9832.0,VMS,Precambrian,volcanic,48.3061111111,-79.0672222222,3250.0,resolved,48.3061111111,-79.0672222222,intermediate volcanic rocks; volcanic: undivided volcanic rocks,volcanic,ok,13,13,4,10,100.0,resolved,North_America
9905.0,Porphyry,Cenozoic,carbonate,47.899009728278,20.089933276176,35.3,resolved,47.899009728278,20.089933276176,"Major:{limestone}, Minor{marl,dolomite/dolostone,sandstone}; limestone; intermediate-felsic volcanic rocks",carbonate,ok,63,63,8,22,100.0,resolved,Europe
10049.0,Sediment-Hosted,Unknown,volcanic,-12.82324,28.07512,,resolved,-12.82324,28.07512,volcanic-sedimentary; orthogneiss/paragneiss,volcanic,ok,13,13,4,11,100.0,unknown,Africa
10058.0,VMS,Precambrian,volcanic,54.8333333333,-100.283333333,1800.0,resolved,54.8333333333,-100.283333333,volcanic: undivided volcanic rocks; volcanic rocks; porphyritc granite; granite,volcanic,ok,28,28,7,16,100.0,resolved,North_America
10277.0,VMS,Paleozoic,unknown,0.0,0.0,340.0,unknown,0.0,0.0,,unknown,ok,9,9,4,9,100.0,resolved,Africa
10328.0,Magmatic sulfide,Precambrian,siliciclastic,46.476256349528,-81.06023639679,1785.0,resolved,46.476256349528,-81.06023639679,"siltstone, wacke, argillite; mudstone; plutonic: late felsic and intermediate plutons in the Superior province",siliciclastic,ok,15,15,4,10,100.0,resolved,North_America
10351.0,VMS,Precambrian,volcanic,54.6513888889,-102.331388889,1520.5,resolved,54.6513888889,-102.331388889,acid to intermediate volcanics; volcanic rocks,volcanic,ok,27,27,5,13,100.0,resolved,North_America
10383.0,Magmatic sulfide,Precambrian,mafic,46.462280137519,-81.186388528286,1785.0,resolved,46.462280137519,-81.186388528286,"norite-gabbro, quartz norite, sublayer and offset rocks; mudstone; plutonic: late felsic and intermediate plutons in the Superior province",mafic,ok,43,43,5,16,100.0,resolved,North_America
10452.0,VMS,Precambrian,mafic,54.722092157646,-101.70988082886,1907.5,resolved,54.722092157646,-101.70988082886,29a gabbro; gabbro; volcanic: undivided volcanic rocks; volcanic rocks,mafic,ok,8,8,4,7,100.0,resolved,North_America
